strain,date,url,clade_membership,current_frequency,mutational_fitness,country,region,division,genbank_accession,host,pango_lineage,S1_mutations,epiweek,emerging_lineage,recency,author,accession,submitting_lab,originating_lab,logistic_growth
OX233469,2022-07-05,,22B (Omicron),0.01,1.37,Denmark,Europe,Hovedstaden,OX233469,Homo sapiens,BA.5.2.1,27,202227,BA.5,3-7 days ago,Danish Covid-19 Genome et al,,,,1.06
OX218340,2022-06-19,,22B (Omicron),0,1.37,Denmark,Europe,Hovedstaden,OX218340,Homo sapiens,BA.5.2.1,27,202225,BA.5,3-7 days ago,Danish Covid-19 Genome et al,,,,1.06
USA/KY-CDC-LC0640672/2022,2022-05-10,,22B (Omicron),,1.37,USA,North America,Kentucky,ON607296,Homo sapiens,BA.5.2.1,27,202219,BA.5,Older,Howard et al FJ,,CDC-OAMD,Laboratory Corporation of America,
SouthAfrica/NHLS-UCT-GP-O786/2022,2022-04-28,,22B (Omicron),,1.38,South Africa,Africa,Western Cape Province,ON647546,Homo sapiens,BA.5.2.1,27,202217,BA.5,Older,Viana et al Y,,University of Cape Town and National Health Laboratory Service,SAS Saldanha,
USA/CO-CDC-LC0697183/2022,2022-05-31,,22B (Omicron),0,1.37,USA,North America,Colorado,ON801239,Homo sapiens,BA.5.2.1,27,202222,BA.5,One month ago,Howard et al FK,,CDC-OAMD,Laboratory Corporation of America,-0.01
Switzerland/TG-ETHZ-676128/2022,2022-07-03,,22B (Omicron),0.01,1.34,Switzerland,Europe,Thurgau,OX235094,Homo sapiens,BA.5.2.1,26,202227,BA.5,3-7 days ago,? CL,,,,-0.01
Switzerland/ZH-ETHZ-676115/2022,2022-07-01,,22B (Omicron),0.01,1.34,Switzerland,Europe,Zürich,OX235006,Homo sapiens,BF.5,26,202226,BA.5,3-7 days ago,? CM,,,,-0.01
Switzerland/TG-ETHZ-676126/2022,2022-07-02,,22B (Omicron),0.01,1.34,Switzerland,Europe,Thurgau,OX235048,Homo sapiens,BA.5.2.1,26,202226,BA.5,3-7 days ago,? CN,,,,-0.01
USA/RI-CDC-LC0755955/2022,2022-07-02,,22B (Omicron),0.01,1.38,USA,North America,Rhode Island,OP000532,Homo sapiens,BF.1.1,27,202226,BA.5,1-2 days ago,Howard et al FL,,,,-0.01
USA/NJ-CDC-STM-6QQ65DD2F/2022,2022-07-03,,22B (Omicron),0.01,1.36,USA,North America,New Jersey,ON991005,Homo sapiens,BF.1,27,202227,BA.5,3-7 days ago,Howard et al FM,,,,-0.01
Switzerland/VS-ETHZ-37735347/2022,2022-06-14,,22B (Omicron),0,1.34,Switzerland,Europe,Valais,OX180933,Homo sapiens,BF.1,26,202224,BA.5,One week ago,? CO,,ETH ZURICH D-BSSE,"Viollier AG; Hagmattstrasse 14, 4123 Allschwil",-0.01
OX152094,2022-06-02,,22B (Omicron),0,1.36,Slovakia,Europe,Slovakia,OX152094,Homo sapiens,BF.1,27,202222,BA.5,One week ago,? J,,"Laboratory of Genomics and Bioinformatics, Comenius University Science Park","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",-0.01
USA/MA-CDC-LC0755763/2022,2022-07-02,,22B (Omicron),0.01,1.36,USA,North America,Massachusetts,OP000462,Homo sapiens,BF.1,27,202226,BA.5,1-2 days ago,Howard et al FN,,,,-0.01
SouthAfrica/NHLS-UCT-GP-O785/2022,2022-04-22,,22B (Omicron),,1.36,South Africa,Africa,Western Cape Province,ON647547,Homo sapiens,BA.5.2.1,27,202216,BA.5,Older,Viana et al Z,,University of Cape Town and National Health Laboratory Service,Caledon Clinic wc CAL,
KEN/SS8785/2022,2022-05-24,,22B (Omicron),0,1.36,Kenya,Africa,Kenya,ON844223,Homo sapiens,BA.5.2.1,27,202221,BA.5,One month ago,Githinji et al CY,,,,-0.01
KEN/C117680/2022,2022-06-14,,22B (Omicron),0,1.36,Kenya,Africa,Kenya,ON872032,Homo sapiens,BA.5.2.1,27,202224,BA.5,One month ago,Githinji et al CZ,,,,-0.01
KEN/C117644/2022,2022-06-14,,22B (Omicron),0,1.36,Kenya,Africa,Kenya,ON872022,Homo sapiens,BA.5.2.1,27,202224,BA.5,One month ago,Githinji et al DA,,,,-0.01
KEN/C117916/2022,2022-06-22,,22B (Omicron),0,1.36,Kenya,Africa,Kenya,ON965747,Homo sapiens,BA.5.2.1,27,202225,BA.5,3-7 days ago,Githinji et al DB,,,,-0.01
ON929960,2022-06-14,,22B (Omicron),0,1.36,Pakistan,Asia,Sindh,ON929960,Homo sapiens,BA.5.2.1,27,202224,BA.5,One week ago,Nisar et al M,,,,-0.01
KEN/SS9418/2022,2022-06-15,,22B (Omicron),0,1.39,Kenya,Africa,Kenya,ON965642,Homo sapiens,BA.5.2.1,27,202224,BA.5,3-7 days ago,Githinji et al DC,,,,-0.01
KEN/SS8886/2022,2022-06-06,,22B (Omicron),0,1.36,Kenya,Africa,Kenya,ON844246,Homo sapiens,BA.5.2.1,27,202223,BA.5,One month ago,Githinji et al DD,,,,-0.01
KEN/SS9261/2022,2022-05-28,,22B (Omicron),0,1.36,Kenya,Africa,Kenya,ON872071,Homo sapiens,BA.5.2.1,27,202221,BA.5,One month ago,Githinji et al DE,,,,-0.01
SouthAfrica/NHLS-UCT-GP-O808/2022,2022-04-28,,22B (Omicron),,1.36,South Africa,Africa,Western Cape Province,ON647558,Homo sapiens,BA.5.2.1,27,202217,BA.5,Older,Viana et al AA,,University of Cape Town and National Health Laboratory Service,Laingsburg Clinic wc LCH,
ON929947,2022-06-13,,22B (Omicron),0,1.34,Pakistan,Asia,Sindh,ON929947,Homo sapiens,BA.5.2.1,27,202224,BA.5,One week ago,Nisar et al N,,,,-0.01
USA/MT-CDC-LC0757311/2022,2022-07-01,,22B (Omicron),0.01,1.36,USA,North America,Montana,OP000229,Homo sapiens,BA.5.2.1,27,202226,BA.5,1-2 days ago,Howard et al FO,,,,-0.01
USA/NV-CDC-STM-Z7FX6YBUX/2022,2022-07-03,,22B (Omicron),0.01,1.34,USA,North America,Nevada,ON991029,Homo sapiens,BA.5.2.1,27,202227,BA.5,3-7 days ago,Howard et al FP,,,,-0.01
USA/NV-CDC-LC0746048/2022,2022-06-21,,22B (Omicron),0,1.34,USA,North America,Nevada,ON966333,Homo sapiens,BA.5.2.1,27,202225,BA.5,3-7 days ago,Howard et al FQ,,CDC-OAMD,Laboratory Corporation of America,-0.01
USA/MI-CDC-STM-7TQ4HS9F2/2022,2022-07-03,,22B (Omicron),0.01,1.34,USA,North America,Michigan,ON990981,Homo sapiens,BA.5.2.1,27,202227,BA.5,3-7 days ago,Howard et al FR,,,,-0.01
USA/MP-CDC-2-6115688/2022,2022-06-03,,22B (Omicron),0,1.37,USA,North America,Northern Mariana Islands,ON877141,Homo sapiens,BA.5.2.1,27,202222,BA.5,One month ago,Sheth et al Z,,CDC DVD Genomics and DIscovery Team,Commonwealth Healthcare Center,-0.01
USA/VT-CDCBI-CRSP_DOW5MCPJUVSF5DMO/2022,2022-07-01,,22B (Omicron),0.01,1.37,USA,North America,Vermont,ON972374,Homo sapiens,BA.5.2.1,27,202226,BA.5,3-7 days ago,Lemieux et al T,,Broad Institute Genomic Center for Infectious Diseases,Broad Institute Clinical Research Sequencing Platform,-0.01
OX229481,2022-06-26,,22B (Omicron),0,1.37,United Kingdom,Europe,Northern Ireland,OX229481,Homo sapiens,BA.5.2.1,27,202226,BA.5,3-7 days ago,VanSteenhouse et al,,,,-0.01
USA/NJ-CDC-STM-2BS6F3GQY/2022,2022-06-26,,22B (Omicron),0,1.37,USA,North America,New Jersey,ON958280,Homo sapiens,BA.5.2.1,27,202226,BA.5,3-7 days ago,Howard et al FS,,CDC-OAMD,'Helix',-0.01
USA/KY-CDC-LC0736926/2022,2022-06-23,,22B (Omicron),0,1.37,USA,North America,Kentucky,ON941504,Homo sapiens,BA.5.2.1,27,202225,BA.5,One week ago,Howard et al FT,,CDC-OAMD,Laboratory Corporation of America,-0.01
USA/CT-CDCBI-CRSP_UDOCUQJ3KTLMCWST/2022,2022-07-01,,22B (Omicron),0.01,1.37,USA,North America,Connecticut,ON972067,Homo sapiens,BA.5.2.1,27,202226,BA.5,3-7 days ago,Lemieux et al U,,Broad Institute Genomic Center for Infectious Diseases,Broad Institute Clinical Research Sequencing Platform,-0.01
USA/FL-CDC-LC0744983/2022,2022-06-27,,22B (Omicron),0,1.37,USA,North America,Florida,ON968320,Homo sapiens,BA.5.2.1,27,202226,BA.5,3-7 days ago,Howard et al FU,,CDC-OAMD,Laboratory Corporation of America,-0.01
USA/IA-CDC-STM-73TY84RV7/2022,2022-07-02,,22B (Omicron),0.01,1.37,USA,North America,Iowa,ON990825,Homo sapiens,BA.5.2.1,27,202226,BA.5,3-7 days ago,Howard et al FV,,,,-0.01
ON929922,2022-05-31,,22B (Omicron),0,1.37,Pakistan,Asia,Sindh,ON929922,Homo sapiens,BA.5.2.1,27,202222,BA.5,One week ago,Nisar et al O,,,,-0.01
KEN/SS9298/2022,2022-06-07,,22B (Omicron),0,1.37,Kenya,Africa,Kenya,ON872148,Homo sapiens,BA.5.2.1,27,202223,BA.5,One month ago,Githinji et al DF,,,,-0.01
SouthAfrica/NHLS-UCT-GS-BJ30/2022,2022-05-05,,22B (Omicron),,1.36,South Africa,Africa,Western Cape Province,ON647632,Homo sapiens,BA.5.2.1,28,202218,BA.5,Older,Viana et al AB,,University of Cape Town and National Health Laboratory Service,2 Military Hospital wc MAA,
SouthAfrica/NHLS-UCT-GS-BJ44/2022,2022-05-04,,22B (Omicron),,1.39,South Africa,Africa,Western Cape Province,ON647646,Homo sapiens,BA.5.2.1,27,202218,BA.5,Older,Viana et al AC,,University of Cape Town and National Health Laboratory Service,Plettenberg Bay Clinic wc PLC,
KEN/SS9326/2022,2022-06-09,,22B (Omicron),0,1.37,Kenya,Africa,Kenya,ON965578,Homo sapiens,BA.5.2.1,27,202223,BA.5,3-7 days ago,Githinji et al DG,,,,-0.01
KEN/SS8674/2022,2022-05-25,,22B (Omicron),0,1.36,Kenya,Africa,Kenya,ON739164,Homo sapiens,BA.5.2.1,27,202221,BA.5,Older,Githinji et al DH,,,,-0.01
KEN/SS9480/2022,2022-06-20,,22B (Omicron),0,1.35,Kenya,Africa,Kenya,ON965685,Homo sapiens,BA.5.2.1,27,202225,BA.5,3-7 days ago,Githinji et al DI,,,,-0.01
KEN/SS8936/2022,2022-05-31,,22B (Omicron),0,1.36,Kenya,Africa,Kenya,ON844264,Homo sapiens,BA.5.2.1,27,202222,BA.5,One month ago,Githinji et al DJ,,,,-0.01
KEN/SS8968/2022,2022-06-06,,22B (Omicron),0,1.36,Kenya,Africa,Kenya,ON844288,Homo sapiens,BA.5.2.1,27,202223,BA.5,One month ago,Githinji et al DK,,,,-0.01
BHR/22920332273/2022,2022-05-22,,22B (Omicron),0,1.36,Bahrain,Asia,Bahrain,ON629695,Homo sapiens,BA.5.2.1,27,202221,BA.5,Older,Marhoon et al V,,,,-0.01
BHR/R15902429358/2022,2022-06-13,,22B (Omicron),0,1.37,Bahrain,Asia,Bahrain,ON935684,Homo sapiens,BA.5.2.1,27,202224,BA.5,One week ago,Marhoon et al W,,,,-0.01
HOMOSPIENS/BHR/22600094190/2022,2022-06-11,,22B (Omicron),0,1.37,Bahrain,Asia,Bahrain,ON848968,Homo sapiens,BA.5.2.1,27,202223,BA.5,One month ago,Marhoon et al X,,,,-0.01
BHR/22020377574/2022,2022-07-03,,22B (Omicron),0.01,1.37,Bahrain,Asia,Bahrain,ON935631,Homo sapiens,BA.5.2.1,27,202227,BA.5,One week ago,Marhoon et al Y,,,,-0.01
BHR/22020375842/2022,2022-07-02,,22B (Omicron),0.01,1.37,Bahrain,Asia,Bahrain,ON935632,Homo sapiens,BA.5.2.1,27,202226,BA.5,One week ago,Marhoon et al Z,,,,-0.01
BHR/22920379490/2022,2022-06-26,,22B (Omicron),0,1.37,Bahrain,Asia,Bahrain,ON935690,Homo sapiens,BA.5.2.1,27,202226,BA.5,One week ago,Marhoon et al AA,,,,-0.01
HOMOSPIENS/BHR/R15902413496/2022,2022-06-03,,22B (Omicron),0,1.37,Bahrain,Asia,Bahrain,ON848962,Homo sapiens,BA.5.2.1,27,202222,BA.5,One month ago,Marhoon et al AB,,,,-0.01
KEN/SS9075/2022,2022-06-10,,22B (Omicron),0,1.39,Kenya,Africa,Kenya,ON871884,Homo sapiens,BA.5.2.1,27,202223,BA.5,One month ago,Githinji et al DL,,,,-0.01
KEN/SS8700/2022,2022-05-27,,22B (Omicron),0,1.37,Kenya,Africa,Kenya,ON814132,Homo sapiens,BA.5.2.1,27,202221,BA.5,One month ago,Githinji et al DM,,,,-0.01
KEN/SS9278/2022,2022-05-31,,22B (Omicron),0,1.43,Kenya,Africa,Kenya,ON872085,Homo sapiens,BA.5.2.1,27,202222,BA.5,One month ago,Githinji et al DN,,,,-0.01
KEN/SS8946/2022,2022-06-03,,22B (Omicron),0,1.36,Kenya,Africa,Kenya,ON844273,Homo sapiens,BA.5.2.1,27,202222,BA.5,One month ago,Githinji et al DO,,,,-0.01
KEN/SS9067/2022,2022-06-10,,22B (Omicron),0,1.39,Kenya,Africa,Kenya,ON871877,Homo sapiens,BA.5.2.1,27,202223,BA.5,One month ago,Githinji et al DP,,,,-0.01
KEN/SS9430/2022,2022-06-16,,22B (Omicron),0,1.37,Kenya,Africa,Kenya,ON965650,Homo sapiens,BA.5.2.1,27,202224,BA.5,3-7 days ago,Githinji et al DQ,,,,-0.01
KEN/SS9274/2022,2022-05-27,,22B (Omicron),0,1.41,Kenya,Africa,Kenya,ON872081,Homo sapiens,BA.5.2.1,27,202221,BA.5,One month ago,Githinji et al DR,,,,-0.01
KEN/SS8941/2022,2022-06-02,,22B (Omicron),0,1.36,Kenya,Africa,Kenya,ON844268,Homo sapiens,BA.5.2.1,27,202222,BA.5,One month ago,Githinji et al DS,,,,-0.01
KEN/SS9044/2022,2022-06-13,,22B (Omicron),0,1.36,Kenya,Africa,Kenya,ON871867,Homo sapiens,BA.5.2.1,27,202224,BA.5,One month ago,Githinji et al DT,,,,-0.01
KEN/SS9358/2022,2022-06-13,,22B (Omicron),0,1.37,Kenya,Africa,Kenya,ON965605,Homo sapiens,BA.5.2.1,27,202224,BA.5,3-7 days ago,Githinji et al DU,,,,-0.01
KEN/SS8999/2022,2022-06-14,,22B (Omicron),0,1.37,Kenya,Africa,Kenya,ON871844,Homo sapiens,BA.5.2.1,27,202224,BA.5,One month ago,Githinji et al DV,,,,-0.01
KEN/C117780/2022,2022-06-17,,22B (Omicron),0,1.37,Kenya,Africa,Kenya,ON872050,Homo sapiens,BA.5.2.1,27,202224,BA.5,One month ago,Githinji et al DW,,,,-0.01
SouthAfrica/NHLS-UCT-GP-O251/2022,2022-03-11,,21L (Omicron),,1.33,South Africa,Africa,South Africa,ON287329,Homo sapiens,BA.2,25,202210,,Older,Tegally et al R,,University of Cape Town and National Health Laboratory Service,Macassar CDC wc MCP,
ZAF/SCV2-GP-N921/2022,2022-02-07,,21L (Omicron),,1.32,South Africa,Africa,South Africa,ON055782,Homo sapiens,BA.2,26,202206,,Older,Valley-Omar et al R,,,,
MYS/C904_721901/2022,2022-03-30,,21L (Omicron),,1.33,Malaysia,Asia,Malaysia,ON527417,Homo sapiens,BA.2,25,202213,,Older,Chan et al AE,,,,
SouthAfrica/NHLS-UCT-GS-BD18/2022,2022-02-18,,21L (Omicron),,1.34,South Africa,Africa,Western Cape Province,ON078400,Homo sapiens,BA.2,26,202207,,Older,Viana et al AD,,University of Cape Town and National Health Laboratory Service,2 Military Hospital wc MAA,
SouthAfrica/NHLS-UCT-GP-O259/2022,2022-03-09,,21L (Omicron),,1.32,South Africa,Africa,South Africa,ON287323,Homo sapiens,BA.2,25,202210,,Older,Tegally et al S,,University of Cape Town and National Health Laboratory Service,Paarl Hospital wc PAH,
PAK/43892/2022,2022-02-14,,21L (Omicron),,1.32,Pakistan,Asia,Sindh,ON459757,Homo sapiens,BA.2,25,202207,,Older,Kabir et al A,,,,
SouthAfrica/NHLS-UCT-GP-O041/2022,2022-02-23,,21L (Omicron),,1.36,South Africa,Africa,Western Cape Province,ON078424,Homo sapiens,BA.2,25,202208,,Older,Viana et al AE,,University of Cape Town and National Health Laboratory Service,Kamieskroon Clinic,
ZAF/SCV2-LA-Z883/2022,2022-02-09,,21L (Omicron),,1.32,South Africa,Africa,South Africa,ON055849,Homo sapiens,BA.2.15,26,202206,,Older,Valley-Omar et al S,,,,
SouthAfrica/NHLS-UCT-GS-BJ58/2022,2022-05-04,,21L (Omicron),,1.31,South Africa,Africa,Western Cape Province,ON647660,Homo sapiens,BA.2.15,26,202218,,Older,Viana et al AF,,University of Cape Town and National Health Laboratory Service,Beaufort West CDC wc BWC,
SouthAfrica/NHLS-UCT-GP-N835/2022,2022-01-30,,21L (Omicron),,1.33,South Africa,Africa,Western Cape Province,ON116545,Homo sapiens,BA.2,25,202205,,Older,Tegally et al T,,University of Cape Town and National Health Laboratory Service,Helderberg Hospital wc HHH,
SouthAfrica/NHLS-UCT-LA-Z855/2022,2022-01-26,,21L (Omicron),,1.33,South Africa,Africa,South Africa,OM857914,Homo sapiens,BA.2,25,202204,,Older,Valley-Omar et al T,,University of Cape Town and National Health Laboratory Service,Lancet,
SouthAfrica/NHLS-UCT-GP-O042/2022,2022-02-24,,21L (Omicron),,1.33,South Africa,Africa,Western Cape Province,ON078425,Homo sapiens,BA.2,25,202208,,Older,Viana et al AG,,University of Cape Town and National Health Laboratory Service,Kylemore Clinic wc KYL,
SouthAfrica/NHLS-UCT-LA-Z930/2022,2022-03-09,,21L (Omicron),,1.35,South Africa,Africa,South Africa,ON287314,Homo sapiens,BA.2.65,25,202210,,Older,Tegally et al U,,University of Cape Town and National Health Laboratory Service,Lancet,
SouthAfrica/NHLS-UCT-GS-BH32/2022,2022-03-18,,21L (Omicron),,1.35,South Africa,Africa,South Africa,ON322596,Homo sapiens,BA.2,25,202211,,Older,Viana et al AH,,University of Cape Town and National Health Laboratory Service,Groote Schuur Hospital wc GSH,
SouthAfrica/NHLS-UCT-GS-BH31/2022,2022-03-15,,21L (Omicron),,1.35,South Africa,Africa,South Africa,ON322595,Homo sapiens,BA.2,25,202211,,Older,Viana et al AI,,University of Cape Town and National Health Laboratory Service,Groote Schuur Hospital wc GSH,
SouthAfrica/NHLS-UCT-GP-O033/2022,2022-02-16,,21L (Omicron),,1.32,South Africa,Africa,Western Cape Province,ON078360,Homo sapiens,BA.2,25,202207,,Older,Viana et al AJ,,University of Cape Town and National Health Laboratory Service,Vredendal Hospital wc VRE,
MWI/MLW001170/2022,2022-01-31,,21L (Omicron),,1.33,Malawi,Africa,Malawi,ON100042,Homo sapiens,BA.2,25,202205,,Older,Feasey et al J,,,,
MWI/MLW001207/2022,2022-02-10,,21L (Omicron),,1.32,Malawi,Africa,Malawi,ON099766,Homo sapiens,BA.2,25,202206,,Older,Feasey et al K,,,,
MWI/MLW00955/2022,2022-01-19,,21L (Omicron),,1.33,Malawi,Africa,Malawi,ON100041,Homo sapiens,BA.2,25,202203,,Older,Feasey et al L,,,,
KEN/SS6963/2022,2022-01-31,,21L (Omicron),,1.33,Kenya,Africa,Kenya,ON198941,Homo sapiens,BA.2,25,202205,,Older,Githinji et al DX,,,,
KEN/SS6972/2022,2022-02-05,,21L (Omicron),,1.33,Kenya,Africa,Kenya,ON198945,Homo sapiens,BA.2,25,202205,,Older,Githinji et al DY,,,,
KEN/SS6973/2022,2022-02-07,,21L (Omicron),,1.36,Kenya,Africa,Kenya,ON198946,Homo sapiens,BA.2,26,202206,,Older,Githinji et al DZ,,,,
SouthAfrica/NHLS-UCT-GP-N825/2022,2022-01-28,,21L (Omicron),,1.32,South Africa,Africa,South Africa,OM857857,Homo sapiens,BA.2,26,202204,,Older,Valley-Omar et al U,,University of Cape Town and National Health Laboratory Service,SAS Saldanha,
SouthAfrica/NHLS-UCT-GP-O578/2022,2022-03-24,,21L (Omicron),,1.33,South Africa,Africa,South Africa,ON324314,Homo sapiens,BA.2,25,202212,,Older,Viana et al AK,,University of Cape Town and National Health Laboratory Service,Buffeljagsrivier Clinic wc BBS,
USA/MN-MDH-24281/2022,2022-04-21,,21L (Omicron),,1.34,USA,North America,Minnesota,ON493527,Homo sapiens,BA.2,25,202216,,Older,Garfin et al D,,,,
SouthAfrica/NHLS-UCT-GP-O248/2022,2022-03-01,,21L (Omicron),,1.33,South Africa,Africa,South Africa,ON322649,Homo sapiens,BA.2,25,202209,,Older,Viana et al AL,,University of Cape Town and National Health Laboratory Service,Helderberg Hospital wc HHH,
SouthAfrica/NHLS-UCT-GP-N840/2022,2022-01-31,,21L (Omicron),,1.33,South Africa,Africa,Western Cape Province,ON116550,Homo sapiens,BA.2,25,202205,,Older,Tegally et al V,,University of Cape Town and National Health Laboratory Service,Lalie Cleophas Clinic wc LCC,
SouthAfrica/NHLS-UCT-GP-N853/2022,2022-02-04,,21L (Omicron),,1.33,South Africa,Africa,Western Cape Province,ON116563,Homo sapiens,BA.2,25,202205,,Older,Tegally et al W,,University of Cape Town and National Health Laboratory Service,SAS Saldanha,
SouthAfrica/NHLS-UCT-GP-O804/2022,2022-04-29,,21L (Omicron),,1.33,South Africa,Africa,Western Cape Province,ON647554,Homo sapiens,BA.2,25,202217,,Older,Viana et al AM,,University of Cape Town and National Health Laboratory Service,TC Newman CDC wc TCN,
SouthAfrica/NHLS-UCT-GP-O606/2022,2022-04-13,,21L (Omicron),,1.33,South Africa,Africa,Western Cape Province,ON647514,Homo sapiens,BA.2,25,202215,,Older,Viana et al AN,,University of Cape Town and National Health Laboratory Service,Bellville South CDC wc BSX,
SouthAfrica/NHLS-UCT-LA-Z955/2022,2022-03-23,,21L (Omicron),,1.32,South Africa,Africa,South Africa,ON324374,Homo sapiens,BA.2,25,202212,,Older,Viana et al AO,,University of Cape Town and National Health Laboratory Service,,
SouthAfrica/NHLS-UCT-GP-O569/2022,2022-03-23,,21L (Omicron),,1.32,South Africa,Africa,South Africa,ON324307,Homo sapiens,BA.2,25,202212,,Older,Viana et al AP,,University of Cape Town and National Health Laboratory Service,Klein Drakenstein Clinic wc KDC,
SouthAfrica/NHLS-UCT-LA-Z902/2022,2022-02-23,,21L (Omicron),,1.33,South Africa,Africa,Western Cape Province,ON078493,Homo sapiens,BA.2,25,202208,,Older,Viana et al AQ,,University of Cape Town and National Health Laboratory Service,Lancet,
SouthAfrica/NHLS-UCT-GS-BD45/2022,2022-02-25,,21L (Omicron),,1.32,South Africa,Africa,Western Cape Province,ON078461,Homo sapiens,BA.2,25,202208,,Older,Viana et al AR,,University of Cape Town and National Health Laboratory Service,Knysna CDC wc WLC,
SouthAfrica/NHLS-UCT-LA-Z960/2022,2022-03-30,,21L (Omicron),,1.32,South Africa,Africa,South Africa,ON324378,Homo sapiens,BA.2,25,202213,,Older,Viana et al AS,,University of Cape Town and National Health Laboratory Service,,
SouthAfrica/NHLS-UCT-GP-O812/2022,2022-04-20,,21L (Omicron),,1.32,South Africa,Africa,Western Cape Province,ON647562,Homo sapiens,BA.2,25,202216,,Older,Viana et al AT,,University of Cape Town and National Health Laboratory Service,Albow Gardens Clinic wc ALB,
SouthAfrica/NHLS-UCT-GS-AZ24/2022,2022-02-01,,21L (Omicron),,1.33,South Africa,Africa,Western Cape Province,ON116576,Homo sapiens,BA.2,25,202205,,Older,Tegally et al X,,University of Cape Town and National Health Laboratory Service,Albertinia Clinic wc AAP,
SouthAfrica/NHLS-UCT-GS-AZ25/2022,2022-02-01,,21L (Omicron),,1.33,South Africa,Africa,Western Cape Province,ON116577,Homo sapiens,BA.2,25,202205,,Older,Tegally et al Y,,University of Cape Town and National Health Laboratory Service,Albertinia Clinic wc AAP,
SouthAfrica/NHLS-UCT-GP-O245/2022,2022-03-01,,21L (Omicron),,1.33,South Africa,Africa,South Africa,ON322647,Homo sapiens,BA.2,25,202209,,Older,Viana et al AU,,University of Cape Town and National Health Laboratory Service,Lapa Munnik Hospital wc LAP,
SouthAfrica/NHLS-UCT-GP-O024/2022,2022-02-14,,21L (Omicron),,1.32,South Africa,Africa,Western Cape Province,ON078352,Homo sapiens,BA.2,25,202207,,Older,Viana et al AV,,University of Cape Town and National Health Laboratory Service,Velddrif Clinic wc VDF,
SouthAfrica/NHLS-UCT-GS-BJ28/2022,2022-05-06,,21L (Omicron),,1.29,South Africa,Africa,Northern Cape,ON647631,Homo sapiens,BA.2,26,202218,,Older,Viana et al AW,,University of Cape Town and National Health Laboratory Service,Study: Novel rapid POC Covid-19,
SouthAfrica/NHLS-UCT-GS-BH86/2022,2022-04-01,,21L (Omicron),,1.33,South Africa,Africa,South Africa,ON324361,Homo sapiens,BA.2,25,202213,,Older,Viana et al AX,,University of Cape Town and National Health Laboratory Service,Groote Schuur Hospital wc GSH,
SouthAfrica/NHLS-UCT-LA-Z928/2022,2022-03-09,,21L (Omicron),,1.33,South Africa,Africa,South Africa,ON287304,Homo sapiens,BA.2,25,202210,,Older,Tegally et al Z,,University of Cape Town and National Health Laboratory Service,Lancet,
SouthAfrica/NHLS-UCT-GS-BD17/2022,2022-02-14,,21L (Omicron),,1.33,South Africa,Africa,Western Cape Province,ON078399,Homo sapiens,BA.2,25,202207,,Older,Viana et al AY,,University of Cape Town and National Health Laboratory Service,Crags Clinic wc CRG,
SouthAfrica/NHLS-UCT-GS-BI08/2022,2022-04-11,,21L (Omicron),,1.32,South Africa,Africa,Western Cape Province,ON647496,Homo sapiens,BA.2,26,202215,,Older,Viana et al AZ,,University of Cape Town and National Health Laboratory Service,Mowbray Maternity Hospital wc MMH,
SouthAfrica/NHLS-UCT-GP-N669/2022,2022-01-20,,21L (Omicron),,1.33,South Africa,Africa,South Africa,OM725299,Homo sapiens,BA.2,25,202203,,Older,Tegally et al AA,,,,
SouthAfrica/NHLS-UCT-LA-Z904/2022,2022-02-23,,21L (Omicron),,1.3,South Africa,Africa,Western Cape Province,ON078495,Homo sapiens,BA.2,25,202208,,Older,Viana et al BA,,University of Cape Town and National Health Laboratory Service,Lancet,
SouthAfrica/NHLS-UCT-GP-O031/2022,2022-02-17,,21L (Omicron),,1.33,South Africa,Africa,Western Cape Province,ON078358,Homo sapiens,BA.2,26,202207,,Older,Viana et al BB,,University of Cape Town and National Health Laboratory Service,Riebeeck West Clinic wc RBW,
